G/V degree,Dischargem,Generator power,Mechanical power,Overall Eff,Mech Eff,Head,Predicted_Eff
35.0,0.7911,80.094,88.99333333333333,0.6788221627728875,0.7563052931244545,15.0,0.6788230853600558
70.0,1.0135,75.668,84.07555555555557,0.5031442658202478,0.5605749080004396,15.0,0.5031443638954572
35.0,0.8641,121.945,135.49444444444444,0.6500307058342221,0.7242274788254497,22.0,0.6500307088657981
70.0,1.1234,120.787,134.20777777777778,0.4969555925948948,0.5536798380182918,22.0,0.49695565428310606
50.0,0.9704,107.603,119.55888888888887,0.6258531038073142,0.6972901609374876,18.0,0.6258530909695699
35.0,0.8234,99.9,111.0,0.6827499305477492,0.7606813900187531,18.0,0.68274880816727
37.5,0.8453,97.858,108.73111111111112,0.6839140023740009,0.7619783330651835,17.0,0.683914425909262
35.0,0.8109,94.013,104.4588888888889,0.6889154815367894,0.7675506985118522,17.0,0.6889179170528544
35.0,0.7911,86.929,96.58777777777776,0.6967346094536299,0.776262328973308,16.0,0.6967338024604266
40.0,0.8954,116.868,129.85333333333332,0.6607716625426798,0.7361944458122731,20.0,0.6607716355540635
40.0,0.8368,91.803,102.00333333333332,0.6926470770753682,0.7717082313862924,16.0,0.6926489275575922
45.0,0.8844,94.355,104.83888888888887,0.6740325963007485,0.7509690288223972,16.0,0.6740321537371841
37.5,0.8185,91.513,101.68111111111112,0.6973316950956769,0.7769275680540183,16.0,0.6973280286066204
40.0,0.8368,84.513,93.90333333333334,0.6773261190365746,0.7546384857357602,15.0,0.6773263917956256
35.0,0.8438,112.432,124.92444444444445,0.6698667413826517,0.7463276686875495,20.0,0.6698668625293382
